2	3	2	1	3	3	.	2	4	2	4	3	0	0	0	0	1	2	1	1	2	1	1	0.5061	130
3	3	0	3	.	3	0	3	2	4	3	3	0	0	0	1	1	2	0	1	4	1	2	1.5462	109
1	0	.	.	.	.	0	0	0	0	.	1	.	0	0	0	0	0	0	.	.	5	.	0.8626	121
2	1	0	3	0	3	3	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	104
1	1	0	0	0	1	2	3	1	4	3	3	1	0	0	1	0	2	2	2	2	2	2	0.3387	131
0	1	1	1	2	2	0	.	.	.	.	.	.	1	0	0	1	.	.	.	.	.	.	0	123
1	.	1	2	1	1	1	3	1	1	3	1	1	0	0	1	0	1	2	3	2	3	1	0.8668	126
2	0	1	2	1	2	3	1	1	2	.	4	.	0	0	0	0	1	0	1	1	4	1	1.0652	124
1	1	0	1	.	1	3	.	.	.	.	.	.	1	1	1	0	.	.	.	.	.	.	0	110
.	1	.	3	.	3	2	0	1	1	2	3	1	0	0	1	1	3	3	2	4	4	2	0.7246	125
1	1	0	0	0	0	2	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	112
1	2	2	1	.	.	3	1	3	1	1	3	1	0	0	1	1	2	2	2	2	4	3	0.447	125
1	2	1	1	2	3	1	0	1	2	1	2	0	0	0	1	1	3	3	4	4	4	2	0.3476	122
0	.	.	0	0	1	3	1	3	3	3	1	1	0	0	0	0	2	0	5	2	2	1	0.5472	121
0	0	2	2	0	3	0	4	3	3	3	3	1	1	0	1	1	3	2	1	1	2	3	1.0022	117
0	0	3	1	2	1	3	0	4	3	3	3	0	1	0	0	1	2	1	3	5	2	2	1.4334	132
0	1	2	.	.	1	.	2	1	1	2	1	1	0	0	1	1	1	2	3	5	3	2	0.7245	110
3	2	3	3	2	2	3	3	1	1	4	1	4	0	1	1	0	3	3	4	5	4	2	0.4163	107
